NEIGHBORHOODA1:S23316,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,"APART
MENT
NUMBER",ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE DATE,"SALE
PRICE",YEAR BUILT
BATH BEACH               ,NA                                  ,4,6370,1308,RP, 88 BAY 20TH   STREET                      ,P7          ,11214,0,0,1,0,0,4, RP ,11/19/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1309,RP, 88 BAY 20TH   STREET                      ,P8          ,11214,0,0,1,0,0,4, RP ,4/22/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1310,RP, 88 BAY 20TH   STREET                      ,P9          ,11214,0,0,1,0,0,4, RP ,11/12/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1311,RP, 88 BAY 20TH   STREET                      ,P10         ,11214,0,0,1,0,0,4, RP ,2/8/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1312,RP, 88 BAY 20TH   STREET                      ,P11         ,11214,0,0,1,0,0,4, RP ,11/13/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1313,RP, 88 BAY 20TH   STREET                      ,P12         ,11214,0,0,1,0,0,4, RP ,11/13/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1321,RP, 98 BAY 20TH   STREET                      ,P1          ,11214,0,0,1,0,0,4, RP ,12/7/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1322,RP, 98 BAY 20TH   STREET                      ,P2          ,11214,0,0,1,0,0,4, RP ,2/15/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1323,RP, 98 BAY 20TH   STREET                      ,P3          ,11214,0,0,1,0,0,4, RP ,1/9/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1324,RP, 98 BAY 20TH   STREET                      ,P4          ,11214,0,0,1,0,0,4, RP ,1/7/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1325,RP, 98 BAY 20TH   STREET                      ,P5          ,11214,0,0,1,0,0,4, RP ,11/7/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1326,RP, 98 BAY 20TH   STREET                      ,P6          ,11214,0,0,1,0,0,4, RP ,6/25/2013,$0 ,2011
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6363,23,A9, 8641 16TH AVENUE                          ,            ,11214,1,0,1,"2,058","1,492",1, A9 ,6/6/2013,"$560,000 ",1930
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6366,69,A1, 8658 BAY 16TH   STREET                    ,            ,11214,1,0,1,"4,833","1,724",1, A1 ,12/18/2012,"$860,000 ",1930
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6371,21,A9, 73 BAY 20TH   STREET                      ,            ,11214,1,0,1,"2,417","2,132",1, A9 ,8/24/2012,"$508,000 ",1930
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6378,64,A1, 56 BAY 28TH   STREET                      ,            ,11214,1,0,1,"3,867","1,704",1, A1 ,6/18/2013,"$600,000 ",1899
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6379,42,S1, 2142 86TH   STREET                        ,            ,11214,1,1,2,"1,600","2,640",1, S1 ,12/14/2012,$0 ,1925
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6380,69,S1, 8662 BAY PARKWAY                          ,            ,11214,1,1,2,"2,707","3,304",1, S1 ,11/29/2012,"$820,000 ",1960
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6395,20,A5, 135 BAY 10TH STREET                       ,            ,11228,1,0,1,"2,417","2,000",1, A5 ,11/14/2012,"$690,000 ",1935
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6405,49,S1, 1863 BATH AVENUE                          ,            ,11214,1,1,2,"1,172","1,800",1, S1 ,6/3/2013,"$550,000 ",1920
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6409,35,A9, 94 BAY 25TH   STREET                      ,            ,11214,1,0,1,"1,440","1,281",1, A9 ,3/11/2013,"$479,000 ",1915
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6412,16,A1, 8739 21ST   AVENUE                        ,            ,11214,1,0,1,"2,513","2,346",1, A1 ,6/6/2013,"$738,000 ",1935
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6426,10,A2, 239 BAY 8TH   STREET                      ,            ,11228,1,0,1,"5,810","2,835",1, A2 ,9/27/2012,$0 ,1950
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6426,35,A9, 183 BAY 8TH STREET                        ,            ,11228,1,0,1,"1,933","1,562",1, A9 ,5/7/2013,"$685,000 ",1920
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6428,65,A9, 228 BAY 11TH   STREET                     ,            ,11228,1,0,1,"1,990","1,328",1, A9 ,9/25/2012,$0 ,1925
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6431,11,A9, 1629 CROPSEY AVENUE                       ,            ,11214,1,0,1,"1,713","2,500",1, A9 ,5/31/2013,"$520,000 ",1930
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6444,11,A5, 211 BAY 26TH   STREET                     ,            ,11214,1,0,1,"2,223","2,070",1, A5 ,10/22/2012,$0 ,1955
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,35,A1, 8863 15TH AVENUE                          ,            ,11228,1,0,1,"5,800","4,071",1, A1 ,11/29/2012,$0 ,1925
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,40,S2, 8855 15TH AVE                             ,            ,11228,2,1,3,"7,747","5,107",1, A2 ,7/25/2013,"$1,707,200 ",1945
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,143,A5, 1169 SHORE PARKWAY                        ,            ,11214,1,0,1,"2,511","1,392",1, A5 ,1/3/2013,"$525,000 ",1950
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,231,A5, 246 BAY 13TH STREET                       ,            ,11214,1,0,1,"1,648","1,392",1, A5 ,2/21/2013,"$420,000 ",1945
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,232,A5, 248 BAY 13TH   STREET                     ,            ,11214,1,0,1,"1,648","1,392",1, A5 ,1/11/2013,$0 ,1945
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,268,A5, 247 BAY 13TH   STREET                     ,            ,11214,1,0,1,"1,649","1,392",1, A5 ,12/12/2012,"$520,000 ",1940
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,280,A5, 273 BAY 13TH STREET                       ,            ,11214,1,0,1,"2,062","1,860",1, A5 ,3/22/2013,"$675,000 ",1940
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,292,A5, 299 BAY 13TH   STREET                     ,            ,11214,1,0,1,"2,062","1,860",1, A5 ,3/1/2013,"$410,000 ",1940
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,312,A5, 1155 SHORE PARKWAY                        ,            ,11214,1,0,1,"1,861","1,392",1, A5 ,7/24/2013,"$553,800 ",1940
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,335,A5, 1141 SHORE PARKWAY                        ,            ,11214,1,0,1,"1,878","1,479",1, A5 ,11/16/2012,"$515,000 ",1945
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6463,129,A5, 8845 18TH AVENUE                          ,            ,11214,1,0,1,"1,372",992,1, A5 ,3/18/2013,"$460,000 ",1950
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6464,50,A9, 280 BAY 20TH STREET                       ,            ,11214,1,0,1,"1,600","1,320",1, A9 ,1/24/2013,"$525,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6357,9,B1, 8661 14TH   AVENUE                        ,            ,11228,2,0,2,"2,320","2,700",1, B1 ,11/7/2012,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6357,14,B1, 8645 14TH   AVENUE                        ,            ,11228,2,0,2,"2,320","2,700",1, B1 ,3/22/2013,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6357,20,B1, 8631 14TH   AVENUE                        ,            ,11228,2,0,2,"2,320","2,700",1, B1 ,8/30/2012,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6359,30,B1, 11 BAY 8TH   STREET                       ,            ,11228,2,0,2,"1,948","3,160",1, B1 ,7/17/2013,"$888,000 ",1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6360,17,B3, 8657 15TH AVENUE                          ,            ,11228,2,0,2,"1,547","2,224",1, B3 ,10/20/2012,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,2,B1, 1543 BENSON AVE                           ,            ,11228,2,0,2,"2,383","2,242",1, B1 ,2/20/2013,"$700,000 ",1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,4,B1, 1539 BENSON AVENUE                        ,            ,11228,2,0,2,"2,500","2,090",1, B1 ,5/10/2013,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,28,B3, 29 BAY 10TH STREET                        ,            ,11228,2,0,2,"2,103","1,622",1, B3 ,11/13/2012,"$525,000 ",1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,71,B1, 70 BAY 11TH STREET                        ,            ,11228,2,0,2,"3,867","1,935",1, B1 ,10/12/2012,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,57,B1, 32 BAY 13TH   STREET                      ,            ,11214,2,0,2,"2,167","2,340",1, B1 ,6/19/2013,"$860,000 ",1920
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6364,59,B9, 38 BAY 14TH STREET                        ,            ,11214,2,0,2,"2,140","1,401",1, B9 ,6/17/2013,$0 ,1960
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6365,7,B1, 1661 BENSON AVENUE                        ,            ,11214,2,0,2,"1,800","2,048",1, B1 ,3/21/2013,"$580,000 ",1910
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6365,61,B1, 8646 17TH AVENUE                          ,            ,11214,2,0,2,"3,178","2,745",1, B1 ,1/2/2013,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6366,27,B1, 8637 17TH AVENUE                          ,            ,11214,2,0,2,"1,933","3,240",1, B1 ,7/3/2013,$0 ,1901
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6367,82,B1, 80 BAY 17 STREET                          ,            ,11214,2,0,2,"2,610","4,140",1, B1 ,6/24/2013,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,25,B2, 15 BAY 17TH STREET                        ,            ,11214,2,0,2,"2,417","2,512",1, B2 ,4/3/2013,"$750,000 ",1905
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6369,81,B3, 74 BAY 19TH STREET                        ,            ,11214,2,0,2,985,"1,200",1, B3 ,6/28/2013,"$550,000 ",1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6370,63,B3, 22 BAY 20TH STREET                        ,            ,11214,2,0,2,"2,417","1,584",1, B3 ,4/2/2013,"$600,000 ",1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6371,81,B3, 8674 19TH AVENUE                          ,            ,11214,2,0,2,"2,223","2,521",1, B3 ,5/1/2013,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6372,90,B3, 92 BAY 22 STREET                          ,            ,11214,2,0,2,"1,456","2,062",1, B3 ,4/23/2013,$0 ,1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6373,5,B3, 1925 BENSON AVENUE                        ,            ,11214,2,0,2,"5,000","2,890",1, B3 ,4/5/2013,"$830,000 ",1935
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6374,31,B2, 45 BAY 23RD STREET                        ,            ,11214,2,0,2,"3,853","3,340",1, B2 ,6/18/2013,"$645,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6374,31,B2, 45 BAY 23RD STREET                        ,            ,11214,2,0,2,"3,853","3,340",1, B2 ,5/17/2013,$0 ,1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6374,31,B2, 45 BAY 23RD STREET                        ,            ,11214,2,0,2,"3,853","3,340",1, B2 ,1/15/2013,$0 ,1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6376,70,B2, 64 BAY 26TH   STREET                      ,            ,11214,2,0,2,"2,900","2,544",1, B2 ,3/1/2013,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6377,27,B3, 33 BAY 26TH   STREET                      ,            ,11214,2,0,2,"4,833","1,984",1, B3 ,8/13/2012,"$925,000 ",1899
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6377,47,B3, 8610 21ST   AVENUE                        ,            ,11214,2,0,2,"9,667","2,904",1, B3 ,12/28/2012,"$2,220,000 ",1899
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6379,74,B2, 74 BAY 29TH                               ,            ,11214,2,0,2,"4,833","2,845",1, B2 ,9/19/2012,$0 ,1899
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6379,74,B2, 74 BAY 29TH                               ,            ,11214,2,0,2,"4,833","2,845",1, B2 ,9/19/2012,$0 ,1899
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6379,74,B2, 74 BAY 29TH                               ,            ,11214,2,0,2,"4,833","2,845",1, B2 ,9/19/2012,$0 ,1899
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6391,18,B9, 8739 14TH AVENUE                          ,            ,11228,2,0,2,"2,127","1,771",1, B9 ,11/29/2012,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6393,9,B3, 1451 BATH AVENUE                          ,            ,11228,2,0,2,"1,933","2,115",1, B3 ,8/24/2012,"$520,000 ",1920
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6394,36,B1, 8691 15TH   AVENUE                        ,            ,11228,2,0,2,"2,344","3,240",1, B1 ,11/20/2012,"$97,500 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6394,36,B1, 8691 15TH AVENUE                          ,            ,11228,2,0,2,"2,344","3,240",1, B1 ,9/27/2012,$0 ,1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6395,27,B9, 119 BAY 10TH STREET                       ,            ,11228,2,0,2,"1,933","2,772",1, B9 ,6/25/2013,$0 ,1935
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6395,63,B9, 134 BAY 11TH   STREET                     ,            ,11228,2,0,2,"1,925","2,018",1, B9 ,11/16/2012,"$742,500 ",1955
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6396,65,B9, 8740 16TH   AVENUE                        ,            ,11214,2,0,2,"1,993","2,160",1, B9 ,3/26/2013,"$710,000 ",1960
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6396,161,B9, 8730 16TH AVENUE                          ,            ,11214,2,0,2,"1,933","2,160",1, B9 ,1/14/2013,$0 ,1960
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,5,S2, 1639 BATH AVENUE                          ,            ,11214,2,1,3,"2,083","3,195",1, S2 ,12/20/2012,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,5,S2, 1639 BATH AVENUE                          ,            ,11214,2,1,3,"2,083","3,195",1, S2 ,12/19/2012,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,54,B1, 122 BAY 14 STREET                         ,            ,11214,2,0,2,"2,167","2,448",1, B1 ,9/28/2012,"$700,000 ",1925
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,134,B1, 101 BAY 13TH STREET                       ,            ,11214,2,0,2,"2,167","2,953",1, B1 ,8/15/2012,$0 ,1960
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,134,B1, 101 BAY 13TH STREET                       ,            ,11214,2,0,2,"2,167","2,953",1, B1 ,8/15/2012,$0 ,1960
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6400,2,S2, 1721 BATH AVENUE                          ,            ,11214,2,1,3,"2,025","4,400",1, S2 ,2/13/2013,"$595,000 ",1925
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6401,33,B9, 44 RUTHERFORD PLACE                       ,            ,11214,2,0,2,"1,558","2,365",1, B9 ,1/25/2013,$0 ,1965
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6401,33,B9, 44 RUTHERFORD PLACE                       ,            ,11214,2,0,2,"1,558","2,365",1, B9 ,1/25/2013,$0 ,1965
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6402,22,B3, 123 BAY 17TH STREET                       ,            ,11214,2,0,2,"1,933","1,513",1, B3 ,8/17/2012,"$650,000 ",1910
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6402,71,B1, 55 RUTHERFORD PLACE                       ,            ,11214,2,0,2,"1,820","2,910",1, B1 ,1/15/2013,$0 ,1992
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6406,37,B3, 132 BAY 22ND STREET                       ,            ,11214,2,0,2,"5,518","3,254",1, B3 ,12/31/2012,"$995,000 ",1899
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6413,65,B3, 140 BAY 29TH STREET                       ,            ,11214,2,0,2,"2,900","2,000",1, B3 ,2/28/2013,$10 ,1925
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,31,B9, 8793 14TH AVENUE                          ,            ,11228,2,0,2,"2,449","1,802",1, B9 ,8/13/2012,"$750,000 ",1935
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,40,B1, 8773 14TH AVENUE                          ,            ,11228,2,0,2,"2,000","1,812",1, B1 ,9/27/2012,"$699,000 ",1935
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,52,B2, 186 BAY 7TH STREET                        ,            ,11228,2,0,2,"1,933","2,560",1, B2 ,6/28/2013,"$650,000 ",1935
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,61,B2, 210 BAY 7TH   STREET                      ,            ,11228,2,0,2,"3,867","2,194",1, B2 ,5/22/2013,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,61,B2, 210 BAY 7TH   STREET                      ,            ,11228,2,0,2,"3,867","2,194",1, B2 ,5/22/2013,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,61,B2, 210 BAY 7TH   STREET                      ,            ,11228,2,0,2,"3,867","2,194",1, B2 ,11/19/2012,$0 ,1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6426,55,B1, 8798 15TH AVENUE                          ,            ,11228,2,0,2,"3,867","4,105",1, B1 ,12/17/2012,$0 ,1920
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6427,42,B1, 178 BAY 10TH   STREET                     ,            ,11228,2,0,2,"2,147","1,635",1, B1 ,12/14/2012,"$697,000 ",1955
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6427,53,B1, 196 BAY 10TH STREET                       ,            ,11228,2,0,2,"1,933","1,785",1, B1 ,5/17/2013,$0 ,1920
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6429,47,B9, 8782 16TH   AVENUE                        ,            ,11214,2,0,2,"1,904","2,275",1, B9 ,10/23/2012,$0 ,1960
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6430,18,B9, 8815 16TH AVENUE                          ,            ,11214,2,0,2,"2,020","2,620",1, B9 ,6/5/2013,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6431,36,B2, 173 BAY 13 STREET                         ,            ,11214,2,0,2,"2,331","1,940",1, B2 ,6/4/2013,"$586,000 ",1899
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6431,49,B3, 184 BAY 14TH STREET                       ,            ,11214,2,0,2,"2,058","1,953",1, B3 ,1/23/2013,$0 ,1899
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6432,9,B1, 1657 CROPSEY AVENUE                       ,            ,11214,2,0,2,"1,916","1,762",1, B1 ,8/8/2012,"$685,000 ",1960
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6433,11,B3, 1701 CROPSEY AVENUE                       ,            ,11214,2,0,2,"1,906","2,490",1, B3 ,11/13/2012,$10 ,1920
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6434,56,B3, 212 BAY 17TH STREET                       ,            ,11214,2,0,2,"1,643","1,934",1, B3 ,8/13/2012,"$350,000 ",1930
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6438,34,S2, 1862 BATH AVENUE                          ,            ,11214,2,1,3,"1,091","3,420",1, S2 ,12/20/2012,"$550,000 ",1920
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6442,51,B1, 202 BAY 25TH   STREET                     ,            ,11214,2,0,2,"3,867","2,352",1, B1 ,8/20/2012,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6444,26,B3, 175 BAY 26TH STREET                       ,            ,11214,2,0,2,"1,837","1,995",1, B3 ,9/12/2012,"$605,000 ",1901
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6447,31,S2, 2160 BATH AVENUE                          ,            ,11214,2,1,3,"1,933","2,760",1, S2 ,6/27/2013,$0 ,1920
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6459,60,B9, 8890 15TH AVENUE                          ,            ,11228,2,0,2,"3,867","2,802",1, B9 ,12/26/2012,"$750,000 ",1955
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6459,65,B9, 8904 15TH AVENUE                          ,            ,11228,2,0,2,"3,867","2,348",1, B9 ,2/20/2013,"$950,000 ",1955
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,1,B3, 8943 15TH AVENUE                          ,            ,11228,2,0,2,"1,740","1,674",1, B3 ,10/9/2012,"$639,500 ",1960
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,28,B9, 8885 15TH   AVENUE                        ,            ,11228,2,0,2,"1,933","2,060",1, B9 ,2/14/2013,"$762,000 ",1965
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,30,B9, 8883 15TH AVENUE                          ,            ,11228,2,0,2,"2,900","2,520",1, B9 ,12/13/2012,$0 ,1965
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,73,B2, 318 BAY 10TH STREET                       ,            ,11228,2,0,2,"3,867","1,756",1, B2 ,4/23/2013,$0 ,1920
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,95,B3, 299 BAY 10TH STREET                       ,            ,11228,2,0,2,"1,772","1,998",1, B3 ,2/4/2013,"$695,000 ",1955
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,146,B1, 308 BAY 11TH STREET                       ,            ,11228,2,0,2,"1,885","1,729",1, B1 ,8/1/2013,$0 ,1955
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,161,B1, 335 BAY 11TH   STREET                     ,            ,11228,2,0,2,"2,000","1,928",1, B1 ,11/20/2012,"$705,000 ",1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,169,B1, 315 BAY 11TH STREET                       ,            ,11228,2,0,2,"2,477","1,928",1, B1 ,11/29/2012,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,234,B3, 8910 16TH AVENUE                          ,            ,11214,2,0,2,"1,980","1,782",1, B3 ,4/4/2013,"$600,000 ",1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,187,B9, 8867 16TH   AVENUE                        ,            ,11214,2,0,2,"2,138","1,782",1, B9 ,7/10/2013,"$630,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,201,B3, 8897 16TH AVENUE                          ,            ,11214,2,0,2,"2,352","1,860",1, B3 ,10/25/2012,"$670,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,314,B3, 1151 SHORE PARKWAY                        ,            ,11214,2,0,2,"2,852","2,340",1, B3 ,9/21/2012,"$715,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,2,B1, 1295 SHORE PARKWAY                        ,            ,11214,2,0,2,"1,830","2,160",1, B1 ,2/21/2013,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,6,B1, 1285 SHORE PARKWAY                        ,            ,11214,2,0,2,"1,830","1,980",1, B1 ,6/13/2013,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,53,B1, 8840 18TH AVENUE                          ,            ,11214,2,0,2,"1,828","1,980",1, B1 ,1/9/2013,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,91,B1, 1325 SHORE PARKWAY                        ,            ,11214,2,0,2,"1,979","2,160",1, B1 ,6/5/2013,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,95,B1, 1315 SHORE PARKWAY                        ,            ,11214,2,0,2,"1,979","2,160",1, B1 ,1/28/2013,$0 ,1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,121,B1, 8863 18TH   AVENUE                        ,            ,11214,2,0,2,"1,783","1,980",1, B1 ,11/27/2012,"$650,000 ",1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,123,B1, 8859 18TH   AVENUE                        ,            ,11214,2,0,2,"1,765","1,980",1, B1 ,5/24/2013,"$610,000 ",1950
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,40,B3, 260 BAY 20TH STREET                       ,            ,11214,2,0,2,"2,200","1,776",1, B3 ,9/14/2012,"$635,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,53,B3, 286 BAY 20TH STREET                       ,            ,11214,2,0,2,"2,200","1,645",1, B3 ,6/12/2013,$0 ,1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,154,B3, 8862 19TH AVENUE                          ,            ,11214,2,0,2,"2,127","1,928",1, B3 ,9/19/2012,"$620,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,173,B3, 8906 19TH   AVENUE                        ,            ,11214,2,0,2,"2,127","1,610",1, B3 ,12/17/2012,"$580,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,181,B9, 1367 SHORE PARKWAY                        ,            ,11214,2,0,2,"2,142","1,840",1, B9 ,6/24/2013,$0 ,1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,186,B9, 1355 SHORE PARKWAY                        ,            ,11214,2,0,2,"2,175","1,720",1, B9 ,8/30/2012,"$650,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,9,B9, 248 BAY 22ND STREET                       ,            ,11214,2,0,2,"2,127","1,652",1, B9 ,12/12/2012,$0 ,1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,23,B9, 1932 20TH DRIVE                           ,            ,11214,2,0,2,"2,634","1,652",1, B9 ,8/30/2012,"$600,000 ",1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,27,B9, 1942 20TH   DRIVE                         ,            ,11214,2,0,2,"2,090","1,652",1, B9 ,3/28/2013,$0 ,1940
BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,88,B3, 8857 19TH   AVENUE                        ,            ,11214,2,0,2,"1,547","1,584",1, B3 ,1/15/2013,"$240,000 ",1940
